River,Station,Latitude,Longitude,2026-08-28,2026-08-29
River Indus,Kargil,34.56,76.13,0.0,0.2
River Indus,Leh and Ladakh,34.15,77.58,0.0,0.0
River Indus,Kakul,34.18,73.25,1.7,1.2
River Indus,Malam Jabba,34.79,72.57,2.2,3.8
River Jhelum,Srinagar,34.08,74.79,0.0,0.0
River Jhelum,Bandipore,34.42,74.64,0.0,0.0
River Jhelum,Pulwama,33.87,74.89,0.0,
River Jhelum,Badgam,34.02,74.77,,0.0
River Jhelum,Kupwara,34.53,74.26,0.0,0.0
River Jhelum,Baramulla,34.2,74.35,0.0,0.1
River Jhelum,Anantnag,33.73,75.15,0.0,0.0
River Jhelum,Poonch,33.77,74.09,0.6,1.5
River Jhelum,Qila Rohtas,32.65,73.58,0.0,0.0
River Jhelum,Mangla,33.14,73.64,0.5,0.6
River Jhelum,Mandi Bahauddin,32.59,73.49,,
River Jhelum,Chakwal,32.93,72.86,0.5,4.1
River Jhelum,Palandri,33.71,73.75,5.5,2.4
River Chenab,Kishtwar,33.31,75.77,0.0,0.3
River Chenab,Ramban,33.24,75.24,1.7,3.6
River Chenab,Reasi,33.08,74.83,9.4,9.8
River Chenab,Jammu,32.73,74.86,5.2,1.8
River Chenab,Rajouri,33.38,74.31,2.9,
River Chenab,Doda,33.15,75.55,1.9,
River Chenab,Gujranwala,32.16,74.19,,0.2
River Chenab,Sialkot,32.49,74.52,4.6,0.8
River Chenab,Hafizabad,32.07,73.69,0.0,0.0
River Chenab,Gujrat,32.57,74.08,0.0,0.2
River Ravi,Chamba,32.55,76.13,5.1,3.4
River Ravi,Kathua,32.37,75.52,3.5,2.0
River Ravi,Gurdaspur,32.04,75.4,0.7,0.5
River Ravi,Pathankot,32.27,75.65,,3.2
River Ravi,Narowal,32.1,74.87,,
River Ravi,Okara,30.81,73.45,0.0,0.0
River Ravi,Lahore,31.52,74.36,0.0,0.3
River Sutlej,Bilaspur,31.33,76.76,0.7,2.7
River Sutlej,Kangra,32.1,76.27,3.6,1.4
River Sutlej,Kullu,31.96,77.11,0.3,1.1
River Sutlej,Mandi,31.71,76.93,0.5,4.2
River Sutlej,Solan,30.9,77.1,0.3,
River Sutlej,Hoshiarpur,31.53,75.91,0.3,
River Sutlej,Kapurthala,31.38,75.38,,0.7
River Sutlej,Bahawalnagar,29.99,73.25,0.0,0.0
Nullah Aik & Palku,Udhampur,32.92,75.14,5.0,19.0
Nullah Deg,Samba,32.57,75.12,12.2,6.4
